epoch,loss,reg_prop_pred_loss,val_loss,val_reg_prop_pred_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
0,0.5209350558628599,0.10649108034465833,nan,0.0006463237863499671,0.6827207607882363,nan,3.7017207432654686e-07,1.0064989758389338,0.7312430503848658,0.9353786194466974,3.7017207432654686e-07,1.149438748369179
1,0.32100828736426823,0.0011109874161485346,nan,0.0006088406040882027,0.6970552074057715,nan,6.168544928186748e-07,0.9295699719871794,0.8043034822817343,0.6409048974751477,6.168544928186748e-07,1.1220642246573094
2,0.2970553171112243,0.0006714868593025967,nan,0.0006290499216577571,0.6895696001393454,nan,1.0279256912326673e-06,0.9037820786237717,0.8156696299632707,0.5934381131156982,1.0279256912326673e-06,1.0054122276515125
3,0.2610537168395472,0.0006514490864506786,nan,0.0006201328576675483,0.6925379412514823,nan,1.7129339084931416e-06,1.3862742687974656,0.8315074144131633,0.5214540641858758,1.7129339084931416e-06,1.1212476538471967
4,0.23507229134855992,0.0006168285285751613,2.3940941299710956,0.0006060025642260111,0.7029686693634306,4.7875793865748815,2.8544293400045717e-06,1.0273359511579787,0.8448698991323372,0.4695241995779167,2.8544293400045717e-06,1.2454432779099363
5,0.2094250886326292,0.000613099058595601,2.190317600114005,0.0006103073635521078,0.7282545123781476,4.380019664764404,4.756610906042624e-06,1.0819408885070256,0.8598425333718379,0.41823155775488136,4.756610906042624e-06,1.160650959147875
6,0.1864799088572126,0.000600419219757664,nan,0.000594050736565675,0.7455036601849965,nan,7.92639002611395e-06,0.9938342588288444,0.8751846835907712,0.3723507265170732,7.92639002611395e-06,1.0940637604648848
7,0.16284699987367804,0.0005908648372373629,nan,0.0006045392753938878,0.7745162870202745,nan,1.3208464224589989e-05,0.7538983804838998,0.8913784790798962,0.3250910732613142,1.3208464224589989e-05,0.9131565570831299
8,0.14099615425821319,0.0005861338272512671,nan,0.0005947499590027812,0.7988010172333037,nan,2.2010388420312665e-05,0.5571603417396546,0.9061291104768852,0.28139148722606827,2.2010388420312665e-05,0.6672939152356638
9,0.13230718976235484,0.0005820574341861316,nan,0.0005678923507470504,0.8155622052294867,nan,3.66775639122352e-05,0.4571741955620902,0.9119068051714346,0.26401298130413453,3.66775639122352e-05,0.527315899219171
10,0.12052844503961237,0.0005733137126117796,1.3203347682952882,0.0005622435953617761,0.8362038842269353,2.6400813698768615,6.111799302743748e-05,0.42412215045520235,0.9200376503496056,0.24045549992071205,6.111799302743748e-05,0.45937863367487236
11,0.1023122573041346,0.0005608433370331889,1.1650674896580833,0.0005693162679173318,0.8554712827716555,2.3295275841440475,0.0001018428520183079,0.3737687983683177,0.9320191748588683,0.20402031435197093,0.0001018428520183079,0.42572297446756246
12,0.0911195631996094,0.0005512600830724589,1.0044553416115898,0.0005533205004342432,0.8754006398575647,2.0083043030330114,0.00016969938587862998,0.3126782826014927,0.9393975751333503,0.1816271512988079,0.00016969938587862998,0.35778150335251097
13,0.08224248352991158,0.0005467277811469132,nan,0.0005363963091180526,0.8928940998656409,nan,0.0002827550342772156,0.27556468099355697,0.945233499576371,0.16384996966536777,0.0002827550342772156,0.3121777352108898
14,0.07342189001847073,0.0005384379563958893,nan,0.0005631227709402862,0.9014583357742855,nan,0.0004710941284429282,0.24825347353305136,0.9510980987453841,0.1461749182813671,0.0004710941284429282,0.2768531801928562
15,0.064456556315916,0.0005371712659071923,nan,0.0005340428611296895,0.9107950644833701,nan,0.0007847847300581634,0.20703745186328887,0.9569901356184151,0.12819080971389177,0.0007847847300581634,0.235901253976195
16,0.058853416869127415,0.0005304727604078404,nan,0.0005212373158428818,0.9091414856059211,nan,0.0013070814311504364,0.19342799090913365,0.9607733908877429,0.11691155450871266,0.0013070814311504364,0.20259363713017497
17,0.0543027498095159,0.0005256033842025168,0.590966265967914,0.0005246633850869589,0.9267252083335604,1.1810499685151237,0.002176224486902356,0.16446036036525455,0.9639443700057102,0.10767496440158897,0.002176224486902356,0.18607081579734605
18,0.04740411133405222,0.0005171526826600882,0.5023314912404333,0.0005091090164829179,0.9377322086266109,1.003638129574912,0.0036212082486599684,0.14242147813950265,0.9685939023694194,0.09370261000922002,0.0036212082486599684,0.16250377964688487
19,0.04326661249318446,0.0005163431465597934,nan,0.000528989323564539,0.9419142476149968,nan,0.00601985352113843,0.12687559042658125,0.9714778973286845,0.08518631335392417,0.00601985352113843,0.13797153904143558
20,0.04631241850881462,0.0005152108574905749,0.5087739699653216,0.0005146918795487311,0.9369718104600906,1.015894336785589,0.009991399943828583,0.11398919597268105,0.9696639813274976,0.0909140297586462,0.009991399943828583,0.11966255564257443
21,0.03697453860148966,0.0005096499566953496,0.39735894735370364,0.0005043242095520587,0.9508163260562079,0.7927471037421908,0.016539542004466057,0.08866420185991696,0.9760661746401236,0.07169439866545191,0.016539542004466057,0.10550646237524382
22,0.036286870453996485,0.0005093160624322722,0.3218316714678492,0.0005021414183179981,0.9602191273655211,0.6411919006279536,0.027261018753051758,0.07223881781101227,0.9767200430075961,0.06973504133789662,0.027261018753051758,0.08544740811643373
23,0.03336613166676575,0.0005090757146054708,0.2824511134198734,0.000509766604019595,0.9651599317789078,0.5615555869681494,0.04461720213294029,0.0635824693100793,0.9790286460720685,0.06295127975216425,0.04461720213294029,0.07333288343541651
24,0.035213270050239755,0.000508232267116163,0.3268599965742656,0.000504483887094206,0.9597556906087058,0.6486616032464164,0.07220327854156494,0.06307064276188612,0.9783515374973951,0.0649489752592081,0.07220327854156494,0.06882419500692907
25,0.03544065496954785,0.0005081601145693965,nan,0.0004969334497997936,0.9682633412735803,nan,0.1147959753870964,0.05855676944234541,0.9791685625376454,0.062459498424216574,0.1147959753870964,0.06893666228093949
26,0.04263717011210928,0.0005063898772821276,0.26894231747303693,0.0004987402731785551,0.967279566185815,0.5273910922663553,0.17770178616046906,0.056244809765900884,0.9758343181762087,0.07263974707677545,0.17770178616046906,0.06825031761332337
27,0.04065967208420138,0.0005066596203023545,0.27819051763841085,0.0005067472928203642,0.9663824545485633,0.5418507776090077,0.26476824283599854,0.05296521923903908,0.9785087849514418,0.06443366378961331,0.26476824283599854,0.061861727080972075
28,0.044168347390405684,0.0005085258022047193,0.32672202991587773,0.0005025302639946208,0.9606887753520693,0.6336220562458038,0.3750375509262085,0.05151344066751855,0.9774515482059039,0.06759353055065846,0.3750375509262085,0.05395363307450397
29,0.04628957852839949,0.0005087783603986495,0.33652618271963936,0.0005156210586262335,0.9594842365809849,0.6530369345630919,0.5,0.03899961694010667,0.9771275700800922,0.06843238093582282,0.5,0.0472759957629371
30,0.04801902003972179,0.0005105619201904155,0.29337315261363983,0.0005061806451911772,0.9650170075041907,0.5638592181461198,0.6249624490737915,0.035811600222119266,0.9763868689062111,0.07063959326105289,0.6249624490737915,0.039823008266340686
31,0.047625924504373175,0.0005112277866810546,0.3410595485142299,0.0005162526535319298,0.9590495829071317,0.660042741894722,0.7352317571640015,0.029324225056916474,0.9766776480997701,0.06979495938496286,0.7352317571640015,0.033928977864315785
32,0.04516114829130382,0.0005117252097322245,0.4130165370447295,0.0004992010483484982,0.9499790681259973,0.8062421036618096,0.8222982287406921,0.023460793761270388,0.9776349911651764,0.06711194156353692,0.8222982287406921,0.0276038898889762
33,0.04225326053115476,0.0005110855492813312,0.44957286076886316,0.0005067660263323757,0.9453267293316977,0.881228979570525,0.885204017162323,0.01966775291200195,0.9784599326046339,0.06457551521846498,0.885204017162323,0.021938355310089086
34,0.03860867203944233,0.0005117166170987683,0.4614277863076755,0.000520367978190604,0.9436996332236699,0.9074546128511429,0.9277967214584351,0.016038632186661874,0.9801485261119219,0.05970690646672629,0.9277967214584351,0.018321600740411843
35,0.03836384733389336,0.0005118567018586014,nan,0.0005069013445920843,0.9469695201941899,nan,0.9553828239440918,0.01542241140268743,0.9799364079992134,0.06047615597091348,0.9553828239440918,0.01647473822655787
36,0.034304454282994765,0.000513346297402061,0.4515632710286549,0.0005017544724978506,0.9448489052908761,0.88893061876297,0.9727389812469482,0.014077947781022107,0.9821312910532096,0.05383587738432257,0.9727389812469482,0.01465931256557722
37,0.032723835787450174,0.0005120619321455326,nan,0.0004969380087069501,0.9443128611360277,nan,0.9834604859352112,0.012713758501091174,0.9828671394591313,0.05146735004813548,0.9834604859352112,0.01369476427669188
38,0.03182494609034157,0.0005142142413651563,0.48077075566564287,0.00050373473558076,0.9411623499223164,0.9483507952519825,0.9900085926055908,0.012815021158062986,0.9833256713422646,0.05028029549941124,0.9900085926055908,0.012985122081382104
39,0.03031126130446495,0.0005154622425334491,nan,0.0005174693890564543,0.9378028507743563,nan,0.9939801692962646,0.011742370316226568,0.9840939535562736,0.047987510477641666,0.9939801692962646,0.012192949267527259
40,0.031597099717394765,0.0005150724934512356,nan,0.0005035339584407796,0.9365417310169765,nan,0.9963787794113159,0.011380922734471305,0.9834238490260455,0.05013465330420262,0.9963787794113159,0.012590065133197612
41,0.034908907651248204,0.0005156779207012791,nan,0.0004948433702728445,0.9397769502231053,nan,0.9978237748146057,0.010944063236404742,0.9813400612884309,0.05690156016573013,0.9978237748146057,0.01242762253252396
42,0.028237770454757716,0.0005144109411686436,0.5737625845840999,0.000497117376861362,0.9294557822602135,1.1370383271149227,0.9986929297447205,0.010002805798181465,0.9851981810839527,0.04495527008140229,0.9986929297447205,0.011020264140074234
43,0.026938682612016856,0.000516828981416478,0.5427001054797854,0.0005165577227931602,0.933318287559918,1.0747820918049131,0.9992151856422424,0.01010949280379074,0.9858111502639801,0.042874881602912786,0.9992151856422424,0.01049389045952682
44,0.02685021698267099,0.0005153860891028214,0.5173558273485729,0.0005079621723520436,0.9364472138030189,1.0243497886828015,0.9995288848876953,0.009858553297817707,0.9858678830572334,0.042715639667028925,0.9995288848876953,0.010474342833536555
